Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
24:03.9,36:20.0,Google Snippets,Augmentation with max. window size 2,0.602059991,26,169,0.481512233,87.83482143
30:48.4,36:56.7,Google Snippets,Augmentation with max. window size 2,0.657577319,3,142,0.466896298,86.70756646
30:46.4,37:21.9,Google Snippets,No Augmentation,0.431798276,10,243,0.550639764,85.04672897
07:52.5,37:39.7,Google Snippets,Augmentation with max. window size 2,0.173925197,8,271,0.647995916,81.08108108
25:55.6,37:45.8,Google Snippets,Augmentation with max. window size 2,0.468521083,11,215,0.515051237,86.08321377
05:48.7,38:07.0,Google Snippets,No Augmentation,0.173925197,18,287,0.791725456,79.92277992
00:22.1,38:11.1,Google Snippets,Augmentation with max. window size 3,0.259637311,8,220,0.687559294,83.4625323
18:03.7,38:13.4,Google Snippets,Augmentation with max. window size 2,0.086186148,27,436,0.93054152,72.09302326
08:54.2,38:21.1,Google Snippets,Augmentation with max. window size 2,0.214670165,24,217,0.621403433,83.125
55:21.4,38:21.7,Google Snippets,Augmentation with max. window size 3,0.236572006,3,277,0.605210702,84.09090909
31:28.1,38:24.4,Google Snippets,Augmentation with max. window size 2,0.602059991,12,157,0.411919548,88.72767857
12:45.2,38:51.9,Google Snippets,Augmentation with max. window size 3,0.15490196,13,252,0.82744638,76.62337662
09:55.8,39:00.4,Google Snippets,Augmentation with max. window size 3,0.102372909,5,477,0.790000088,77.77777778
30:43.5,39:04.1,Google Snippets,Augmentation with max. window size 2,0.431798276,13,237,0.623742635,84.11214953
15:40.0,39:13.0,Google Snippets,Augmentation with max. window size 3,0.086186148,29,462,0.643862514,82.17054264
15:22.1,39:23.1,Google Snippets,Augmentation with max. window size 3,0.173925197,25,209,0.759630198,80.30888031
05:46.8,39:32.0,Google Snippets,Augmentation with max. window size 3,0.193820026,8,274,0.644947908,82.00692042
57:27.9,39:32.2,Google Snippets,Augmentation with max. window size 3,0.30980392,11,210,0.671492785,81.77874187
03:23.9,39:34.2,Google Snippets,No Augmentation,0.193820026,23,284,0.700900011,82.35294118
11:20.4,39:44.8,Google Snippets,Augmentation with max. window size 3,0.173925197,11,248,0.644952852,84.55598456
07:21.5,39:49.6,Google Snippets,No Augmentation,0.15490196,20,300,0.877815033,76.62337662
12:57.9,39:52.7,Google Snippets,Augmentation with max. window size 3,0.086186148,2,529,0.917066271,75.19379845
29:56.4,40:15.6,Google Snippets,No Augmentation,0.602059991,23,176,0.479991818,85.9375
48:14.9,40:21.6,Google Snippets,Augmentation with max. window size 2,0.30980392,22,265,0.549716354,85.46637744
51:42.1,40:42.8,Google Snippets,Augmentation with max. window size 3,0.337242168,9,230,0.560150921,84.46215139
24:53.5,40:50.4,Google Snippets,Augmentation with max. window size 2,0.552841969,28,195,0.506363966,85.7837181
47:44.9,41:06.8,Google Snippets,Augmentation with max. window size 3,0.283996656,13,292,0.694878961,82.03309693
09:37.0,41:21.8,Google Snippets,Augmentation with max. window size 2,0.102372909,23,480,0.877637146,77.77777778
37:14.6,41:50.9,Google Snippets,Augmentation with max. window size 2,0.552841969,7,166,0.514770453,87.48481166
58:50.2,41:55.3,Google Snippets,No Augmentation,0.193820026,16,336,0.576445689,83.73702422
01:10.9,42:03.3,Google Snippets,No Augmentation,0.15490196,13,401,0.624855868,83.11688312
10:11.8,42:03.8,Google Snippets,Augmentation with max. window size 2,0.15490196,24,309,0.685786666,82.25108225
10:27.8,42:13.5,Google Snippets,No Augmentation,0.102372909,13,448,0.775027913,79.73856209
17:52.8,42:13.8,Google Snippets,Augmentation with max. window size 2,0.15490196,3,235,0.950149911,78.35497836
56:19.0,42:34.3,Google Snippets,No Augmentation,0.259637311,23,278,0.611032849,84.2377261
57:24.6,43:15.1,Google Snippets,No Augmentation,0.193820026,2,360,0.634915835,83.39100346
50:25.8,43:21.5,Google Snippets,Augmentation with max. window size 2,0.30980392,29,268,0.60868259,84.164859
32:50.0,43:26.2,Google Snippets,Augmentation with max. window size 3,0.468521083,7,214,0.528679535,85.22238164
05:17.8,43:31.1,Google Snippets,Augmentation with max. window size 2,0.214670165,3,282,0.548089438,84.0625
25:02.9,43:32.7,Google Snippets,No Augmentation,0.886056648,22,137,0.424386146,88.21792453
29:55.9,43:34.1,Google Snippets,No Augmentation,0.657577319,21,168,0.468757476,87.01431493
01:35.7,43:35.2,Google Snippets,Augmentation with max. window size 2,0.283996656,17,240,0.681771721,84.1607565
04:31.8,43:52.7,Google Snippets,Augmentation with max. window size 2,0.236572006,8,263,0.625787514,83.52272727
51:39.4,43:56.5,Google Snippets,Augmentation with max. window size 3,0.259637311,29,302,0.521642463,87.59689922
53:37.5,43:57.2,Google Snippets,Augmentation with max. window size 2,0.283996656,10,285,0.693823615,82.50591017
04:57.3,44:09.5,Google Snippets,Augmentation with max. window size 3,0.214670165,6,278,0.623036878,81.875
22:28.9,44:13.0,Google Snippets,Augmentation with max. window size 2,0.086186148,20,462,1.030859651,72.86821705
15:54.1,44:14.5,Google Snippets,Augmentation with max. window size 2,0.173925197,29,257,0.717720647,80.6949807
52:16.7,44:19.1,Google Snippets,No Augmentation,0.337242168,17,243,0.667548973,82.66932271
14:11.0,44:40.9,Google Snippets,Augmentation with max. window size 2,0.119186408,21,387,0.838846855,78.65168539
07:39.4,44:51.9,Google Snippets,Augmentation with max. window size 3,0.15490196,26,360,0.543290162,83.98268398
53:42.3,45:16.0,Google Snippets,Augmentation with max. window size 3,0.259637311,1,301,0.585981269,82.6873385
57:24.1,45:17.4,Google Snippets,No Augmentation,0.13667714,1,510,0.734171313,81.8627451
23:05.4,45:18.7,Google Snippets,No Augmentation,0.602059991,9,215,0.466721047,88.05803571
11:12.1,45:19.1,Google Snippets,Augmentation with max. window size 3,0.193820026,22,270,0.623632718,82.69896194
11:40.8,45:43.5,Google Snippets,Augmentation with max. window size 2,0.119186408,0,445,0.632819921,83.14606742
54:51.1,45:47.6,Google Snippets,No Augmentation,0.30980392,26,257,0.59821309,84.38177874
23:47.9,45:55.7,Google Snippets,Augmentation with max. window size 3,0.086186148,23,440,0.80490491,75.96899225
53:38.8,45:57.5,Google Snippets,Augmentation with max. window size 3,0.337242168,16,221,0.65219803,83.46613546
28:39.6,46:15.5,Google Snippets,Augmentation with max. window size 3,0.086186148,16,352,0.828986458,76.74418605
14:32.0,46:26.3,Google Snippets,Augmentation with max. window size 3,0.13667714,28,350,0.693796445,83.33333333
02:11.9,46:34.7,Google Snippets,No Augmentation,0.236572006,11,284,0.704881352,80.39772727
27:53.3,46:35.7,Google Snippets,Augmentation with max. window size 2,0.102372909,4,346,0.824175028,77.77777778
15:07.6,47:10.1,Google Snippets,Augmentation with max. window size 3,0.173925197,18,288,0.641164182,83.78378378
14:36.0,47:17.2,Google Snippets,Augmentation with max. window size 3,0.15490196,6,319,0.697482716,80.95238095
08:29.3,47:32.2,Google Snippets,Augmentation with max. window size 3,0.193820026,29,318,0.750603236,80.62283737
51:00.6,47:35.7,Google Snippets,No Augmentation,0.30980392,19,287,0.447291345,89.15401302
24:46.2,47:49.0,Google Snippets,No Augmentation,0.102372909,6,330,0.978291819,73.20261438
04:59.7,47:49.6,Google Snippets,Augmentation with max. window size 2,0.214670165,17,317,0.631166139,80.9375
36:28.0,48:11.3,Google Snippets,Augmentation with max. window size 2,0.508638306,9,211,0.520737423,86.26155878
25:12.9,48:22.1,Google Snippets,Augmentation with max. window size 3,0.102372909,13,343,0.766318133,80.39215686
34:23.2,48:30.9,Google Snippets,No Augmentation,0.468521083,22,204,0.445373744,87.66140603
21:03.3,48:33.3,Google Snippets,Augmentation with max. window size 2,0.119186408,28,349,0.912892547,73.03370787
10:21.6,48:56.2,Google Snippets,No Augmentation,0.119186408,24,464,0.816940669,79.7752809
39:24.4,49:02.4,Google Snippets,No Augmentation,0.552841969,25,190,0.470753009,87.12029162
15:40.8,49:08.7,Google Snippets,Augmentation with max. window size 2,0.13667714,25,367,0.822281668,79.90196078
