Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
11:12.7,16:13.7,Tag My News (Titles Only),No Augmentation,0.468521083,6,201,0.868155658,71.60633206
16:13.7,20:47.3,Tag My News (Titles Only),No Augmentation,0.508638306,6,174,0.808282256,76.35416389
20:47.3,25:59.3,Tag My News (Titles Only),No Augmentation,0.552841969,6,183,0.843050689,77.95909047
25:59.3,31:51.1,Tag My News (Titles Only),No Augmentation,0.602059991,6,177,0.733577102,77.12059021
31:51.1,38:26.5,Tag My News (Titles Only),No Augmentation,0.657577319,6,189,0.745468795,76.55186653
38:26.5,45:11.5,Tag My News (Titles Only),No Augmentation,0.721246399,6,175,0.698967218,78.26218903
45:11.5,53:51.8,Tag My News (Titles Only),No Augmentation,0.795880017,6,201,0.743961841,78.13824713
53:51.8,00:45.2,Tag My News (Titles Only),No Augmentation,0.886056648,6,145,0.754515588,76.04523897
00:45.2,08:40.2,Tag My News (Titles Only),No Augmentation,1,6,151,0.679739416,77.33782232
08:40.2,09:42.4,Tag My News (Titles Only),No Augmentation,0.013228266,7,190,1.508284807,50
09:42.4,11:10.3,Tag My News (Titles Only),No Augmentation,0.026872146,7,288,1.190666318,62.74510026
11:10.3,13:09.7,Tag My News (Titles Only),No Augmentation,0.040958608,7,334,1.086075068,65.38461447
13:09.7,14:54.0,Tag My News (Titles Only),No Augmentation,0.055517328,7,262,1.159658074,61.90476418
14:54.0,17:23.2,Tag My News (Titles Only),No Augmentation,0.070581074,7,363,1.143104434,61.19403243
17:23.2,19:10.6,Tag My News (Titles Only),No Augmentation,0.086186148,7,388,1.096085191,66.25766754
19:10.6,20:57.7,Tag My News (Titles Only),No Augmentation,0.102372909,7,323,1.044374347,68.04123521
20:57.7,22:57.5,Tag My News (Titles Only),No Augmentation,0.119186408,7,262,0.955647707,66.66666865
22:57.5,25:08.9,Tag My News (Titles Only),No Augmentation,0.13667714,7,259,1.008336067,67.44186282
25:08.9,27:34.8,Tag My News (Titles Only),No Augmentation,0.15490196,7,270,0.905582786,68.25938821
27:34.8,29:49.9,Tag My News (Titles Only),No Augmentation,0.173925197,7,231,0.970376074,69.90881562
29:49.9,32:47.3,Tag My News (Titles Only),No Augmentation,0.193820026,7,273,0.903611302,72.95082211
32:47.3,36:07.3,Tag My News (Titles Only),No Augmentation,0.214670165,7,288,0.935055137,70.68965435
36:07.3,40:09.8,Tag My News (Titles Only),No Augmentation,0.236572006,7,288,0.838320732,73.8255024
40:09.8,43:21.0,Tag My News (Titles Only),No Augmentation,0.259637311,7,212,0.881490409,71.42857313
43:21.0,47:14.4,Tag My News (Titles Only),No Augmentation,0.283996656,7,241,0.913785934,72.2014904
47:14.4,51:02.2,Tag My News (Titles Only),No Augmentation,0.30980392,7,234,0.812707722,73.84615541
51:02.2,54:43.8,Tag My News (Titles Only),No Augmentation,0.337242168,7,223,0.783652961,76.29513144
54:43.8,58:57.9,Tag My News (Titles Only),No Augmentation,0.366531544,7,217,0.867463052,73.98843765
58:57.9,03:41.4,Tag My News (Titles Only),No Augmentation,0.397940009,7,229,0.767086744,76.29826665
03:41.4,08:09.2,Tag My News (Titles Only),No Augmentation,0.431798276,7,206,0.749778092,76.80981755
08:09.2,14:21.8,Tag My News (Titles Only),No Augmentation,0.468521083,7,254,0.856398523,74.20814633
14:21.8,20:17.6,Tag My News (Titles Only),No Augmentation,0.508638306,7,226,0.797663391,76.45833492
20:17.6,26:49.8,Tag My News (Titles Only),No Augmentation,0.552841969,7,220,0.663649023,78.17272842
26:49.8,32:14.8,Tag My News (Titles Only),No Augmentation,0.602059991,7,163,0.713648081,78.15588117
32:14.8,38:02.1,Tag My News (Titles Only),No Augmentation,0.657577319,7,167,0.674632668,79.2863071
38:02.1,44:59.7,Tag My News (Titles Only),No Augmentation,0.721246399,7,175,0.707488507,77.17714608
44:59.7,52:43.5,Tag My News (Titles Only),No Augmentation,0.795880017,7,174,0.775410086,75.75298548
52:43.5,59:56.7,Tag My News (Titles Only),No Augmentation,0.886056648,7,156,0.759978801,75.84761679
59:56.7,07:55.6,Tag My News (Titles Only),No Augmentation,1,7,174,0.688077956,77.77508497
07:55.6,08:54.9,Tag My News (Titles Only),No Augmentation,0.013228266,8,303,1.469076633,53.8461566
08:54.9,10:07.6,Tag My News (Titles Only),No Augmentation,0.026872146,8,319,1.309358239,56.86274767
10:07.6,11:43.7,Tag My News (Titles Only),No Augmentation,0.040958608,8,386,1.414013505,51.28205419
11:43.7,13:08.1,Tag My News (Titles Only),No Augmentation,0.055517328,8,308,1.322624326,56.1904788
13:08.1,14:58.3,Tag My News (Titles Only),No Augmentation,0.070581074,8,363,1.083179951,64.9253726
14:58.3,17:24.4,Tag My News (Titles Only),No Augmentation,0.086186148,8,444,1.191607118,58.28220844
17:24.4,20:09.2,Tag My News (Titles Only),No Augmentation,0.102372909,8,460,1.131888032,62.88659573
20:09.2,23:06.8,Tag My News (Titles Only),No Augmentation,0.119186408,8,337,0.892644882,70.22222281
23:06.8,25:25.0,Tag My News (Titles Only),No Augmentation,0.13667714,8,247,0.98270154,67.44186282
25:25.0,28:05.9,Tag My News (Titles Only),No Augmentation,0.15490196,8,270,0.96954596,73.37883711
28:05.9,30:52.1,Tag My News (Titles Only),No Augmentation,0.173925197,8,261,0.924901426,69.60486174
30:52.1,34:04.7,Tag My News (Titles Only),No Augmentation,0.193820026,8,287,0.86926496,72.131145
34:04.7,38:25.9,Tag My News (Titles Only),No Augmentation,0.214670165,8,392,0.885770917,72.66010046
38:25.9,42:28.0,Tag My News (Titles Only),No Augmentation,0.236572006,8,287,0.917698264,72.25950956
42:28.0,45:17.0,Tag My News (Titles Only),No Augmentation,0.259637311,8,191,0.923579335,69.18367147
45:17.0,48:56.7,Tag My News (Titles Only),No Augmentation,0.283996656,8,231,0.855901599,74.25373197
48:56.7,52:53.0,Tag My News (Titles Only),No Augmentation,0.30980392,8,240,0.848509252,71.45299315
52:53.0,57:00.9,Tag My News (Titles Only),No Augmentation,0.337242168,8,243,0.812594831,72.84144163
57:00.9,01:38.3,Tag My News (Titles Only),No Augmentation,0.366531544,8,225,0.875294089,72.54335284
01:38.3,06:05.8,Tag My News (Titles Only),No Augmentation,0.397940009,8,206,0.84770596,73.36884141
06:05.8,10:37.2,Tag My News (Titles Only),No Augmentation,0.431798276,8,204,0.750990808,74.60122705
10:37.2,15:16.2,Tag My News (Titles Only),No Augmentation,0.468521083,8,180,0.802565157,74.43438768
