Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Google Snippets,No Augmentation,0.086186148,14.5,410.8666666666667,0.8430738290166667,78.19121447049997
Google Snippets,No Augmentation,0.102372909,14.5,420.9166666666667,0.8103998439333336,79.20479302866669
Google Snippets,No Augmentation,0.11918640800000001,14.5,423.35,0.7719430383500001,80.22471910083331
Google Snippets,No Augmentation,0.13667714,14.5,442.26666666666665,0.7668086059499998,80.26960784333332
Google Snippets,No Augmentation,0.15490196,14.5,333.45,0.7008810709666665,81.7171717173333
Google Snippets,No Augmentation,0.173925197,14.5,294.6166666666667,0.67263920675,82.58687258749998
Google Snippets,No Augmentation,0.193820026,14.5,289.51666666666665,0.6659479349333332,82.54901960849999
Google Snippets,No Augmentation,0.214670165,13.166666666666666,289.6111111111111,0.647962028462963,83.35648148148148
Google Snippets,No Augmentation,0.236572006,13.708333333333334,295.1458333333333,0.6490249969375,82.88944128770834
Google Snippets,No Augmentation,0.25963731100000004,13.227272727272727,288.6136363636364,0.6377829542727274,83.56236786454544
Google Snippets,No Augmentation,0.283996656,13.214285714285714,290.2857142857143,0.6022029255714287,84.06506810904763
Google Snippets,No Augmentation,0.30980392,13.227272727272727,250.4318181818182,0.5508867185,85.59455728659091
Google Snippets,No Augmentation,0.33724216799999995,13.395348837209303,234.41860465116278,0.5719653128372091,84.81423144627907
Google Snippets,No Augmentation,0.366531544,14.755102040816327,237.69387755102042,0.5653406839387756,85.17506084918368
Google Snippets,No Augmentation,0.397940009,13.653846153846153,232.3846153846154,0.5422114077115385,85.82055613346155
Google Snippets,No Augmentation,0.43179827600000004,13.591836734693878,239.77551020408163,0.5276230119591837,86.37866361408165
Google Snippets,No Augmentation,0.46852108299999995,13.431372549019608,202.66666666666666,0.5065733711764705,86.4376740654902
Google Snippets,No Augmentation,0.508638306,13.5,200.7,0.48360079613999996,87.1704095114
Google Snippets,No Augmentation,0.5528419689999999,13.083333333333334,198.35416666666666,0.49087403410416663,86.97853381833335
Google Snippets,No Augmentation,0.602059991,13.282608695652174,183.97826086956522,0.47517686176086943,87.44662267021738
Google Snippets,No Augmentation,0.6575773189999999,13.422222222222222,177.13333333333333,0.4633800425555556,87.7187002953333
Google Snippets,No Augmentation,0.7212463990000001,12.842105263157896,214.21052631578948,0.4678478988157895,87.91256308578946
Google Snippets,No Augmentation,0.795880017,13.333333333333334,166.42857142857142,0.4359321644761905,88.59389233857144
Google Snippets,No Augmentation,0.886056648,13.395348837209303,157.88372093023256,0.4322059333488372,88.57046950465116
